,State,countyFIPS,County Name,Date,Num of Cases,Num of Deaths,population,Num of Cases per day,Num of Death per day
456690,NC,37001,alamance county,2020-09-06,4.974915347998662e-24,6.748631849246194e-26,169509,1.7605126563251038e-26,0.0
456691,NC,37001,alamance county,2020-09-07,5.013059788885706e-24,6.748631849246194e-26,169509,3.814444088704355e-26,0.0
456692,NC,37001,alamance county,2020-09-08,5.029197821568687e-24,6.895341237273286e-26,169509,1.6138032682981036e-26,1.4670938802709198e-27
456693,NC,37001,alamance county,2020-09-09,5.0335991032094996e-24,6.895341237273286e-26,169509,4.401281640812943e-27,0.0
456694,NC,37001,alamance county,2020-09-10,5.064408074695187e-24,7.042050625300377e-26,169509,3.0808971485687663e-26,1.4670938802709083e-27
456695,NC,37001,alamance county,2020-09-11,5.137762768708732e-24,7.042050625300377e-26,169509,7.335469401354489e-26,0.0
456696,NC,37001,alamance county,2020-09-12,5.172973021835234e-24,7.042050625300377e-26,169509,3.5210253126502076e-26,0.0
456697,NC,37001,alamance county,2020-09-13,5.219920026003905e-24,7.042050625300377e-26,169509,4.6947004168670903e-26,0.0
456698,NC,37001,alamance county,2020-09-14,5.241926434207968e-24,7.042050625300377e-26,169509,2.2006408204062512e-26,0.0
456700,NC,37003,alexander county,2020-01-23,0.0,0.0,37497,-5.241926434207968e-24,-7.042050625300377e-26
456701,NC,37003,alexander county,2020-01-24,0.0,0.0,37497,0.0,0.0
456702,NC,37003,alexander county,2020-01-25,0.0,0.0,37497,0.0,0.0
456703,NC,37003,alexander county,2020-01-26,0.0,0.0,37497,0.0,0.0
456704,NC,37003,alexander county,2020-01-27,0.0,0.0,37497,0.0,0.0
456705,NC,37003,alexander county,2020-01-28,0.0,0.0,37497,0.0,0.0
456706,NC,37003,alexander county,2020-01-29,0.0,0.0,37497,0.0,0.0
456707,NC,37003,alexander county,2020-01-30,0.0,0.0,37497,0.0,0.0
456708,NC,37003,alexander county,2020-01-31,0.0,0.0,37497,0.0,0.0
456709,NC,37003,alexander county,2020-02-01,0.0,0.0,37497,0.0,0.0
456710,NC,37003,alexander county,2020-02-02,0.0,0.0,37497,0.0,0.0
456711,NC,37003,alexander county,2020-02-03,0.0,0.0,37497,0.0,0.0
